ENSEMBL,log2FoldChange,pvalue,padj,significance
ENSMUSG00000000532,0.04884984745289467,0.8767859684161536,1.0,Not Significant
ENSMUSG00000000538,0.09657615594609226,0.8572791012564819,1.0,Not Significant
ENSMUSG00000000552,-0.15323387142981915,0.20288704310263045,1.0,Not Significant
ENSMUSG00000000555,0.17552370382245286,0.6230433726034927,1.0,Not Significant
ENSMUSG00000000561,0.1606019530183893,0.36797257574722153,1.0,Not Significant
ENSMUSG00000000562,0.10159606384587708,0.03659551415431002,1.0,Not Significant
ENSMUSG00000000563,-0.07345374977977759,0.7553688698677351,1.0,Not Significant
ENSMUSG00000000567,0.14121591503604414,0.8033145143979566,1.0,Not Significant
ENSMUSG00000000568,0.24933979971989828,0.2645973191787909,1.0,Not Significant
ENSMUSG00000000579,0.24895507318491128,0.04128630022802735,1.0,Not Significant
ENSMUSG00000000581,-0.026306044979038212,0.9056174814435032,1.0,Not Significant
ENSMUSG00000000594,-0.0843677219598602,0.6940428131282715,1.0,Not Significant
ENSMUSG00000000600,-0.0067922183811504055,0.9798866167626916,1.0,Not Significant
ENSMUSG00000000605,0.1868770295480493,0.18387061674059343,1.0,Not Significant
ENSMUSG00000000627,0.1171453473766978,0.56727545021301,1.0,Not Significant
ENSMUSG00000000628,-0.5714910411592364,0.8333512682293189,1.0,Not Significant
ENSMUSG00000000631,-0.21417304020297934,0.11069505797938138,1.0,Not Significant
ENSMUSG00000000673,-0.032982845951616824,0.8157215538765215,1.0,Not Significant
ENSMUSG00000000682,0.44705224278028943,0.21638823981086597,1.0,Not Significant
ENSMUSG00000000686,-0.41072008808754923,0.18253515890939326,1.0,Not Significant
ENSMUSG00000000690,1.4998404724748438,0.4249784408504724,1.0,Not Significant
ENSMUSG00000000693,-0.01502459241987708,0.9651656747915918,1.0,Not Significant
ENSMUSG00000000708,-0.21631978735314394,0.4372823462983989,1.0,Not Significant
ENSMUSG00000000711,-0.07381035993040008,0.7746038468784895,1.0,Not Significant
ENSMUSG00000000730,0.6496240511017559,0.43470466192564383,1.0,Not Significant
ENSMUSG00000000732,0.9334156745673217,0.2724416183818246,1.0,Not Significant
ENSMUSG00000000738,0.038528636442555,0.8739774444641657,1.0,Not Significant
ENSMUSG00000000739,1.6064494158046605,0.29769065130772177,1.0,Not Significant
ENSMUSG00000000740,0.17803419155721834,0.4656176111092267,1.0,Not Significant
ENSMUSG00000000743,0.21697462565225045,0.08947749645456911,1.0,Not Significant
ENSMUSG00000000751,-0.011084985037538964,0.9548861886230149,1.0,Not Significant
