ENSEMBL,log2FoldChange,pvalue,padj,significance
ENSMUSG00000001985,-0.016489569794614384,0.5782109147261127,1.0,Not Significant
ENSMUSG00000001986,-0.14998035634878804,0.5223985321750814,1.0,Not Significant
ENSMUSG00000001995,0.2642677082637821,0.48282917735506115,1.0,Not Significant
ENSMUSG00000001998,-0.08945035990340688,0.5169807478233458,1.0,Not Significant
ENSMUSG00000001999,0.00902892069455774,0.9325083417479654,1.0,Not Significant
ENSMUSG00000002006,0.0423694031690669,0.8717602937645212,1.0,Not Significant
ENSMUSG00000002007,0.039442307211079,0.856453899863347,1.0,Not Significant
ENSMUSG00000002010,0.07472706255563022,0.7471399452229373,1.0,Not Significant
ENSMUSG00000002012,0.17655738259335974,0.37708881246865533,1.0,Not Significant
ENSMUSG00000002014,-0.12241046228529129,0.6896592125406422,1.0,Not Significant
ENSMUSG00000002015,-0.06648109918607581,0.5160833459841696,1.0,Not Significant
ENSMUSG00000002017,-0.0905907610688148,0.03867621943141893,1.0,Not Significant
